date,Hub,Spoke,Value,Device sample
3/2/20,Alameda,Contra Costa,0.386090356,28505
3/3/20,Alameda,Contra Costa,0.328876541,25960
3/4/20,Alameda,Contra Costa,0.334051969,26515
3/5/20,Alameda,Contra Costa,0.332070959,26334
3/6/20,Alameda,Contra Costa,0.338323013,26381
3/7/20,Alameda,Contra Costa,0.360538014,26550
3/8/20,Alameda,Contra Costa,0.367126989,25897
3/9/20,Alameda,Contra Costa,0.386125212,27274
3/10/20,Alameda,Contra Costa,0.329363883,25291
3/11/20,Alameda,Contra Costa,0.331065896,25576
3/12/20,Alameda,Contra Costa,0.328915296,25432
3/13/20,Alameda,Contra Costa,0.324801834,24536
3/14/20,Alameda,Contra Costa,0.334295765,23917
3/15/20,Alameda,Contra Costa,0.303518187,20503
3/16/20,Alameda,Contra Costa,0.327013299,20675
3/17/20,Alameda,Contra Costa,0.300944978,20394
3/18/20,Alameda,Contra Costa,0.262125604,16802
3/19/20,Alameda,Contra Costa,0.256613629,16919
3/20/20,Alameda,Contra Costa,0.269151921,15293
3/21/20,Alameda,Contra Costa,0.262332332,11168
3/22/20,Alameda,Contra Costa,0.217741936,10050
3/23/20,Alameda,Contra Costa,0.252850985,15816
3/24/20,Alameda,Contra Costa,0.243569387,15589
3/25/20,Alameda,Contra Costa,0.23934338,15397
3/26/20,Alameda,Contra Costa,0.244858342,15791
3/27/20,Alameda,Contra Costa,0.243938989,15620
3/28/20,Alameda,Contra Costa,0.24925274,15491
3/29/20,Alameda,Contra Costa,0.203597349,13748
3/30/20,Alameda,Contra Costa,0.243946033,14754
3/31/20,Alameda,Contra Costa,0.246799045,15430
3/2/20,Alameda,did not enter other counties,0.362309526,37341
3/3/20,Alameda,did not enter other counties,0.429877872,34554
3/4/20,Alameda,did not enter other counties,0.422926359,35252
3/5/20,Alameda,did not enter other counties,0.425752442,35119
3/6/20,Alameda,did not enter other counties,0.418763847,35206
3/7/20,Alameda,did not enter other counties,0.400604126,35092
3/8/20,Alameda,did not enter other counties,0.411768238,33310
3/9/20,Alameda,did not enter other counties,0.365397631,35460
3/10/20,Alameda,did not enter other counties,0.442960507,33170
3/11/20,Alameda,did not enter other counties,0.445626442,33371
3/12/20,Alameda,did not enter other counties,0.450517977,32820
3/13/20,Alameda,did not enter other counties,0.458504441,31413
3/14/20,Alameda,did not enter other counties,0.458217178,30132
3/15/20,Alameda,did not enter other counties,0.515205725,25155
