Hub,Spoke,date,Device sample,Value,Overlap index
Alameda,Contra Costa,2/10/20,41903,0.288936394,95.48747692
Alameda,Marin,2/10/20,7622,0.026159894,83.90916057
Alameda,Napa,2/10/20,7241,0.031486078,87.43145836
Alameda,Sacramento,2/10/20,51927,0.048950162,89.00586479
Alameda,San Benito,2/10/20,3308,0.008333484,87.10266175
Alameda,San Francisco,2/10/20,24402,0.121759452,92.19268711
Alameda,San Joaquin,2/10/20,26082,0.097393069,92.88595994
Alameda,San Mateo,2/10/20,29355,0.107954854,95.00911142
Alameda,Santa Clara,2/10/20,56210,0.167412453,94.09585435
Alameda,Santa Cruz,2/10/20,6299,0.010163228,75.88534979
Alameda,Solano,2/10/20,19707,0.074204243,91.07662271
Alameda,Sonoma,2/10/20,12179,0.014166923,85.18211026
Alameda,Yolo,2/10/20,12741,0.040779724,89.15651891
Contra Costa,Alameda,2/10/20,55199,0.38061714,93.81455991
Contra Costa,Marin,2/10/20,7622,0.039352791,84.43567036
Contra Costa,Napa,2/10/20,7241,0.056535332,87.83445879
Contra Costa,Sacramento,2/10/20,51927,0.070687063,89.54376775
Contra Costa,San Benito,2/10/20,3308,0.00632413,97.28931028
Contra Costa,San Francisco,2/10/20,24402,0.092594802,89.57263806
Contra Costa,San Joaquin,2/10/20,26082,0.04469847,92.17468959
Contra Costa,San Mateo,2/10/20,29355,0.061021884,92.64160131
Contra Costa,Santa Clara,2/10/20,56210,0.067083502,93.30354798
Contra Costa,Santa Cruz,2/10/20,6299,0.006371859,78.94488662
Contra Costa,Solano,2/10/20,19707,0.151659786,91.10084823
Contra Costa,Sonoma,2/10/20,12179,0.022671408,84.58053958
Contra Costa,Yolo,2/10/20,12741,0.068706298,89.91669529
Marin,Alameda,2/10/20,55199,0.189451588,86.77676394
Marin,Contra Costa,2/10/20,41903,0.216347415,88.91870987
Marin,Napa,2/10/20,7241,0.086066649,91.65965442
Marin,Sacramento,2/10/20,51927,0.042770926,86.52215635
Marin,San Benito,2/10/20,3308,0.008790344,110.9848171
Marin,San Francisco,2/10/20,24402,0.301758069,92.17235822
Marin,San Joaquin,2/10/20,26082,0.023878247,88.28197857
Marin,San Mateo,2/10/20,29355,0.140251902,90.75208992
Marin,Santa Clara,2/10/20,56210,0.066124377,84.89657783
Marin,Santa Cruz,2/10/20,6299,0.008921543,88.13140153
Marin,Solano,2/10/20,19707,0.10312254,92.67325934
Marin,Sonoma,2/10/20,12179,0.319076358,92.61797272
Marin,Yolo,2/10/20,12741,0.047362897,88.82724238
Napa,Alameda,2/10/20,55199,0.240022096,92.57950926
Napa,Contra Costa,2/10/20,41903,0.327164756,94.70655909
Napa,Marin,2/10/20,7622,0.090595222,93.85427987
Napa,Sacramento,2/10/20,51927,0.214058832,91.09263427
Napa,San Benito,2/10/20,3308,0.001519127,64.7408924
Napa,San Francisco,2/10/20,24402,0.165584864,93.56091118
Napa,San Joaquin,2/10/20,26082,0.023753625,84.62322843
Napa,San Mateo,2/10/20,29355,0.093357271,93.75345101
Napa,Santa Clara,2/10/20,56210,0.031625466,97.94870445
Napa,Santa Cruz,2/10/20,6299,0.002623947,86.53772465
Napa,Solano,2/10/20,19707,0.675044883,97.37069863
Napa,Sonoma,2/10/20,12179,0.19831515,97.65991867
Napa,Yolo,2/10/20,12741,0.252727524,92.8936076
Sacramento,Alameda,2/10/20,55199,0.052034587,87.4711439
Sacramento,Contra Costa,2/10/20,41903,0.057041616,89.67945882
Sacramento,Marin,2/10/20,7622,0.006278044,82.07083313
Sacramento,Napa,2/10/20,7241,0.029849597,84.46176202
Sacramento,San Benito,2/10/20,3308,0.002233905,89.44811411
Sacramento,San Francisco,2/10/20,24402,0.019200031,85.18324116
Sacramento,San Joaquin,2/10/20,26082,0.085254299,96.35543428
Sacramento,San Mateo,2/10/20,29355,0.01342269,86.28208777
Sacramento,Santa Clara,2/10/20,56210,0.020336241,88.42116965
Sacramento,Santa Cruz,2/10/20,6299,0.002753866,87.19495489
Sacramento,Solano,2/10/20,19707,0.09288039,92.2625549
Sacramento,Sonoma,2/10/20,12179,0.011131011,90.51120471
Sacramento,Yolo,2/10/20,12741,0.14778439,94.82913558
San Benito,Alameda,2/10/20,55199,0.139056832,89.61064863
San Benito,Contra Costa,2/10/20,41903,0.080108827,101.5241881
San Benito,Marin,2/10/20,7622,0.02025393,110.2629423
San Benito,Napa,2/10/20,7241,0.003325272,62.55921008
San Benito,Sacramento,2/10/20,51927,0.035066505,92.8454838
San Benito,San Francisco,2/10/20,24402,0.039903265,101.3208233
San Benito,San Joaquin,2/10/20,26082,0.050483676,88.6125079
San Benito,San Mateo,2/10/20,29355,0.07738815,101.4036608
San Benito,Santa Clara,2/10/20,56210,0.613361548,95.85092639
San Benito,Santa Cruz,2/10/20,6299,0.123337364,92.19529067
San Benito,Solano,2/10/20,19707,0.026904474,85.81334477
San Benito,Sonoma,2/10/20,12179,0.012091898,124.0027882
San Benito,Yolo,2/10/20,12741,0.016928658,96.27965833
San Francisco,Alameda,2/10/20,55199,0.275428244,93.70764024
San Francisco,Contra Costa,2/10/20,41903,0.15900336,92.78191533
