date,samples,median_distance_traveled_km,median_distance_traveled_mi,mobility_index,country,admin_level,state,county,FIPS
2/17/20,30840,4.29,2.66568159,69,US,2,California,Alameda County,6001
2/17/20,26076,4.89,3.03850419,70,US,2,California,Contra Costa County,6013
2/17/20,3446,6.659,4.137709489,98,US,2,California,Marin County,6041
2/17/20,2977,4.605,2.861413455,82,US,2,California,Napa County,6055
2/17/20,38970,5.183,3.220565893,68,US,2,California,Sacramento County,6067
2/17/20,1634,6.815,4.234643365,65,US,2,California,San Benito County,6069
2/17/20,7068,3.502,2.176041242,91,US,2,California,San Francisco County,6075
2/17/20,17644,4.605,2.861413455,65,US,2,California,San Joaquin County,6077
2/17/20,20389,5.183,3.220565893,78,US,2,California,San Mateo County,6081
2/17/20,38290,5.058,3.142894518,71,US,2,California,Santa Clara County,6085
2/17/20,4358,4.842,3.008678382,90,US,2,California,Santa Cruz County,6087
2/17/20,9688,4.475,2.780635225,59,US,2,California,Solano County,6095
2/17/20,9160,5.206,3.234857426,81,US,2,California,Sonoma County,6097
2/17/20,6021,4.12,2.56004852,78,US,2,California,Yolo County,6113
2/18/20,33088,6.201,3.853121571,100,US,2,California,Alameda County,6001
2/18/20,27987,7.121,4.424782891,102,US,2,California,Contra Costa County,6013
2/18/20,3407,7.953,4.941763563,117,US,2,California,Marin County,6041
2/18/20,3069,5.655,3.513853005,101,US,2,California,Napa County,6055
2/18/20,40464,7.354,4.569562334,97,US,2,California,Sacramento County,6067
2/18/20,1708,11.416,7.093571336,109,US,2,California,San Benito County,6069
2/18/20,6986,3.74,2.32392754,97,US,2,California,San Francisco County,6075
2/18/20,18735,6.982,4.338412322,99,US,2,California,San Joaquin County,6077
2/18/20,21333,6.683,4.152622393,100,US,2,California,San Mateo County,6081
2/18/20,39049,7.397,4.596281287,104,US,2,California,Santa Clara County,6085
2/18/20,4343,5.255,3.265304605,98,US,2,California,Santa Cruz County,6087
2/18/20,10095,6.971,4.331577241,92,US,2,California,Solano County,6095
2/18/20,9296,6.324,3.929550204,99,US,2,California,Sonoma County,6097
